Year,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Iran,Italy,Japan,Mexico,Poland,Russia,Saudi Arabia,South Africa,South Korea,Turkey,United Kingdom,United States of America
1960,88.1189,46.8518,192.7162,778.9795,271.3608,813.9502,120.576,21.3852,37.3586,109.2031,232.4996,63.0523,199.5771,887.6664,2.6744,97.8435,12.5401,16.7985,584.02,2887.8204
1961,90.5039,49.1445,194.0007,550.9585,281.3733,834.8396,130.3929,26.0016,36.5088,124.3749,282.7869,65.2399,207.2354,915.3428,3.5684,102.1198,14.4487,17.3408,588.6148,2877.3698
1962,94.8235,53.6314,206.9908,439.3421,298.8665,883.1686,143.4518,22.9749,37.4284,146.255,292.8644,63.7437,216.6072,960.6122,6.25,105.67,17.2616,21.6045,592.9315,2984.0017
1963,100.9343,55.5509,210.9108,435.5176,334.2264,945.498,154.0682,22.7631,41.3049,164.5562,324.8355,66.2922,230.9988,1030.1191,6.9388,109.7252,21.0832,22.6399,603.3857,3116.0224
1964,108.8758,56.6667,237.5777,435.7038,345.5381,968.9175,150.639,22.3743,47.5191,175.7211,358.8911,74.2001,242.8805,1095.4677,7.0412,119.546,22.1952,26.303,607.866,3252.7552
1965,120.8527,56.3296,251.917,474.6806,352.1116,960.1022,165.9614,24.6682,53.7184,189.5284,386.4712,75.1679,246.9809,1162.0492,4.2163,128.14,24.9783,27.353,622.1116,3388.1927
1966,120.2193,64.2116,259.0744,521.4589,347.6048,951.422,171.6884,23.375,64.1034,213.9823,419.2451,80.8446,252.431,1227.1593,6.4073,128.2349,29.9822,31.5058,618.0747,3559.1792
1967,129.1442,66.0794,281.637,432.2236,372.4753,936.2294,172.0931,24.54,67.8809,234.1297,489.3074,90.0055,259.0255,1283.1268,25.4855,133.7601,35.1132,33.4791,592.057,3693.2982
1968,134.4969,77.2714,303.2613,467.8056,385.101,984.7908,187.1046,27.5626,82.3296,249.1722,561.9126,93.8872,275.801,1319.1296,29.0791,137.9538,37.1971,36.2655,606.4883,3828.3061
1969,142.1238,84.1327,307.1192,575.9447,413.7595,1052.0008,190.4004,33.3622,83.0387,269.661,653.2154,102.1762,293.3653,1373.7523,35.271,143.1428,42.4682,38.7527,628.3825,4021.5026
1970,147.4798,93.5305,341.1772,770.1672,439.6251,1026.0223,194.729,35.7914,91.7875,296.3645,767.9631,113.9507,304.1434,1444.9325,45.2513,149.6182,53.7164,42.5792,652.5774,4325.5008
1971,152.6295,102.3579,352.2851,874.0163,463.1314,1037.2361,205.3296,38.9553,101.6278,311.0492,796.5444,126.1901,312.8808,1533.2619,59.7566,168.4051,58.5498,47.6382,660.3883,4351.3087
1972,157.3355,114.0143,380.7866,928.894,481.588,1041.4795,217.1819,43.3063,106.0152,328.2375,852.1705,132.2791,329.5064,1613.1708,70.2817,171.5569,60.2773,53.7219,648.0264,4558.4526
1973,170.8274,132.0196,381.2647,965.6466,517.5423,1085.7363,223.6023,49.0981,129.4753,353.3492,914.2657,144.0717,335.59,1681.2737,95.0535,173.3578,73.0319,59.31,659.5773,4762.4522
1974,172.1894,142.9273,389.6052,985.0852,499.9684,1062.7243,231.1847,51.2265,143.7754,358.2531,914.3068,154.7465,346.2366,1745.2724,98.7018,176.5523,75.6331,60.9287,617.1839,4592.9583
1975,175.7139,150.5137,396.7727,1142.1019,447.7482,1002.4439,251.1933,53.9325,139.214,341.0526,868.5114,164.1654,374.7801,1834.4993,83.2608,185.011,81.784,65.4194,603.2474,4400.795
1976,174.0747,154.3981,398.946,1190.9646,506.6147,1090.8365,262.5318,61.7883,156.4591,365.7957,907.1454,183.7738,398.1187,1905.0887,101.4595,192.9166,93.2708,73.3595,598.5263,4607.1682
1977,187.6049,162.0783,407.7714,1304.4028,481.9079,1052.6041,277.6483,82.4164,163.7319,354.4179,933.2387,192.4362,417.955,1969.8475,118.0703,199.7472,105.6916,81.1208,604.3621,4735.3663
1978,201.8202,175.9315,415.5054,1455.2575,506.7407,1079.1272,281.5392,93.9382,162.1039,371.2742,901.5914,222.1673,430.8701,2037.4771,115.0243,201.8908,113.4017,76.714,604.714,4882.964
1979,204.8696,187.1551,441.6469,1487.113,530.2807,1117.8821,295.299,95.1371,163.6733,385.2559,953.0729,240.3207,441.3086,2054.334,138.0043,218.6841,133.2189,75.038,644.5133,4894.0429
1980,220.531,185.7584,442.8172,1458.8867,506.0844,1100.0594,312.4849,94.873,120.5645,386.4334,944.8703,267.8175,463.3291,2135.1484,169.2398,228.2175,134.8886,75.2124,579.036,4716.7164
1981,230.1326,170.4679,429.5982,1442.7824,455.4909,1048.5166,337.1052,100.2972,112.5286,375.3006,926.8374,283.7971,408.997,2094.4421,175.3034,257.0996,139.7775,79.1862,560.555,4530.3698
1982,233.8886,170.7893,414.4264,1570.4683,437.8881,1015.7269,347.8156,105.5842,137.515,366.8795,897.4097,304.0101,420.9704,2133.8815,157.8915,280.4596,141.9832,86.2102,548.241,4301.9707
1983,224.785,165.4269,408.3096,1655.8105,423.8276,1011.5972,376.6763,105.1841,149.2134,358.4096,880.9115,277.6665,421.0238,2164.1027,160.8346,291.9301,151.0378,89.8124,545.4858,4335.9166
1984,236.3612,167.6056,425.1993,1802.3171,407.1767,1033.2366,385.9288,112.4605,149.9427,364.6016,937.0721,276.7657,432.4674,2183.2517,155.5102,315.6243,164.0488,94.9063,529.1089,4468.2621
1985,240.988,179.9368,421.6756,1951.7732,402.3213,1044.1101,424.256,121.5977,159.9471,368.983,912.403,287.5112,444.5079,2354.514,172.4186,323.8902,178.4848,105.6626,559.6281,4484.3382
1986,239.7222,197.2262,404.6601,2052.2421,387.2743,1047.4632,455.0665,122.1665,147.536,363.1882,912.2622,293.5555,451.8487,2360.4853,204.6006,330.5265,182.6718,115.6182,568.5548,4487.8559
1987,255.8502,205.7887,430.9217,2191.053,379.5362,1032.4338,486.0673,123.8789,158.6074,380.0992,902.5328,306.1944,463.7326,2350.7666,190.4437,328.696,192.9399,128.4426,571.6685,4680.8341
1988,260.8788,207.563,455.608,2347.7635,374.4805,1029.0143,525.0817,132.7217,175.1078,385.963,985.4671,305.8494,444.23,2413.5143,202.2477,342.6964,222.3078,124.728,570.2949,4885.5905
1989,277.4856,212.1136,462.8177,2386.8851,392.7419,1008.7815,576.4046,131.6742,190.098,404.7427,1021.6848,360.5553,422.1751,2359.4629,203.4193,340.7527,236.2482,137.5705,581.5773,4948.0212
1990,278.4244,206.9211,462.5022,2420.3021,400.8636,1052.5201,616.5792,150.2859,209.2383,439.6397,1158.5149,317.0423,376.9516,2525.5015,185.4853,312.9722,247.4382,151.5085,600.7729,5121.1794
1991,279.8724,217.2277,452.5346,2538.924,426.2683,1014.44,656.7409,180.6221,225.9542,439.3446,1170.0475,330.1332,374.2675,2396.1856,267.3862,326.0689,262.0383,157.982,608.6209,5071.5639
1992,284.9121,218.3833,466.7076,2657.1124,415.6285,966.1768,698.7569,203.5774,226.957,437.2512,1179.7515,332.7801,364.6754,1957.863,285.0742,301.3682,282.1943,163.9222,593.0948,5174.6706
1993,289.2349,228.3332,466.5777,2835.7955,395.7472,956.5175,722.8943,219.7623,235.5766,430.5453,1172.7209,338.0672,365.1,1859.648,313.3274,320.7087,321.8378,171.0112,579.0356,5281.3866
1994,294.0146,239.4705,481.6471,3010.2422,390.531,939.9084,764.2421,222.8542,263.5204,424.8106,1227.6357,351.5282,360.694,1641.541,307.4732,338.8043,344.2638,167.4331,575.1663,5375.0338
1995,305.4098,255.5836,494.2411,3265.057,397.5655,939.5428,811.4609,226.5452,271.1475,451.4332,1239.9982,331.5966,362.4223,1613.0778,234.7121,361.8612,373.9924,180.903,566.6572,5436.698
1996,312.3612,281.1948,509.6936,3408.3466,413.0784,959.6063,878.8271,255.0688,274.0077,444.1862,1252.0709,345.7661,376.4413,1580.299,258.2636,363.9992,401.5296,199.5219,588.3697,5625.0419
1997,320.7947,296.5855,524.4334,3414.5493,405.9719,931.7503,915.0493,280.7363,267.0993,448.8355,1245.3198,368.6448,367.7622,1475.2908,215.7967,385.7001,427.7861,212.0056,562.2995,5701.9209
1998,334.6841,308.3055,533.101,3265.9026,425.4371,923.8237,933.5493,215.97,306.0063,459.9077,1205.5905,388.3569,338.5361,1458.299,207.2305,377.3122,363.5483,212.0403,567.4495,5749.8931
1999,344.0633,316.2824,548.939,3258.1349,421.6414,896.3126,995.2331,243.9519,379.627,464.2907,1242.1918,390.5165,328.8494,1486.2506,225.9765,374.8301,398.3253,207.8042,560.4986,5829.52
2000,350.1946,324.226,571.5073,3349.2948,416.0698,900.3763,1029.6378,265.8034,369.2635,470.2938,1264.9779,396.0664,318.2028,1471.2345,296.3534,378.2549,445.4407,229.7906,567.1857,5997.2989
2001,357.6687,332.9874,564.2309,3426.1441,420.7197,916.9125,1035.6403,297.5303,394.9314,475.9657,1250.3444,410.6979,314.5956,1507.7178,296.5749,371.5167,448.5506,213.4861,575.9891,5899.8555
2002,362.2091,327.4348,570.5518,3782.4393,415.9322,900.3873,1047.5957,307.3615,397.7983,477.5048,1279.5555,411.9677,306.6958,1495.71,325.6812,356.3574,463.628,220.9777,560.0562,5942.4214
2003,369.7256,317.5083,587.4921,4452.3103,422.6334,901.4093,1091.873,316.6547,413.9935,490.7504,1287.7818,437.7575,319.4434,1525.6442,326.5171,404.1731,462.4073,236.4839,571.5206,5991.1909
2004,383.2047,333.6751,586.4688,5125.8944,423.7102,887.4579,1145.5454,339.8479,442.0897,494.5906,1283.0436,438.8567,323.6023,1530.777,394.5848,449.0787,478.6058,244.4641,573.0078,6105.4441
2005,386.5149,342.0865,576.8586,5771.1684,427.0362,866.6405,1210.1457,343.3365,463.5299,494.458,1290.3096,463.9932,322.4967,1547.6927,395.8548,415.9246,459.342,264.2008,569.6998,6130.5524
2006,392.6819,341.9464,570.8113,6377.748,416.0727,878.0765,1287.1492,346.4433,503.7906,489.0022,1267.1578,476.5652,335.5995,1606.7217,431.292,446.6226,465.6059,281.6492,567.2357,6050.3846
2007,400.4154,356.9188,594.7321,6861.7507,405.5712,851.4185,1390.2535,376.8653,513.3138,479.0785,1302.8943,479.7868,335.5539,1604.7777,386.5071,464.8003,493.3534,312.7367,558.9588,6127.8882
2008,405.0485,380.3447,575.454,7375.1899,399.2766,853.7714,1547.9908,417.5618,534.9101,467.472,1232.2319,492.9797,328.7656,1637.2004,432.3364,494.6422,505.7826,309.3212,544.5414,5928.2563
2009,408.3449,360.0908,543.0679,7758.8118,382.1656,788.9235,1720.1206,447.0989,546.885,416.6752,1162.9613,475.9031,315.3414,1529.2281,465.8443,502.2595,506.7644,315.3596,494.0649,5493.5479
2010,406.4259,411.2402,556.4202,8500.5427,389.834,832.3877,1700.0274,428.1743,564.0345,426.351,1214.4238,463.7825,333.4607,1613.523,517.7159,468.8353,565.9608,314.38,511.8314,5700.1083
2011,404.2637,429.9594,566.6745,9388.1992,365.2344,809.7485,1811.9614,508.0733,579.04,413.9442,1264.5182,484.1648,333.0114,1667.0308,497.659,475.8139,588.4039,339.4823,469.6095,5572.5848
2012,406.987,460.098,570.1576,9633.8993,365.8448,814.138,1979.0469,526.3831,600.684,392.6298,1305.8856,496.2995,325.5175,1679.3852,563.1795,462.949,583.6318,353.6662,487.6334,5371.7772
2013,398.0516,495.0468,577.3464,9796.5272,366.8519,831.5704,1994.101,411.1911,608.7101,364.0891,1315.0771,490.1297,321.2727,1618.4343,540.8052,457.4415,591.5399,345.2206,477.7513,5522.9084
2014,393.2885,523.8941,577.3596,9820.3605,335.4153,792.7932,2199.4,366.8426,641.9164,348.5475,1264.8804,481.1288,308.7987,1617.6782,601.8961,482.7641,586.5479,361.6755,438.8742,5572.1063
2015,402.5376,495.2136,576.7569,9716.4678,341.1059,795.9395,2298.1701,507.0121,640.8112,355.7846,1224.5385,481.9746,312.3728,1622.4979,620.883,462.3,595.3939,381.3319,422.4128,5422.9657
2016,413.1574,454.1947,564.0684,9704.4794,342.9555,801.6548,2371.7523,560.679,652.9704,353.4873,1206.1657,485.4241,323.0504,1617.6528,631.5492,474.9811,617.9601,401.2397,399.8389,5306.6625
